timestamp,up,down,left,right,fire
201804261811538309,0,0,0,0,0
201804261811538496,0,0,0,0,0
201804261811538817,0,0,0,0,0
201804261811538995,0,0,0,0,0
201804261811539150,0,0,0,0,0
201804261811539315,0,0,0,0,0
201804261811539479,0,0,0,0,0
201804261811539812,0,0,0,0,0
201804261811539982,0,0,0,0,0
201804261811540148,0,0,0,0,0
201804261811540307,0,0,0,0,0
201804261811540483,0,0,0,0,0
201804261811540821,0,0,0,0,0
201804261811540983,0,0,0,0,0
201804261811541148,0,0,0,0,0
201804261811541311,0,0,0,0,0
201804261811541482,0,0,0,0,0
201804261811541811,0,0,0,0,0
201804261811541978,0,0,0,0,0
201804261811542154,0,0,0,0,0
201804261811542316,0,0,0,0,0
201804261811542481,0,0,0,0,0
201804261811542811,0,0,0,0,0
201804261811542981,0,0,0,0,0
201804261811543144,0,0,0,0,0
201804261811543316,0,0,0,0,0
201804261811543484,0,0,0,0,0
201804261811543810,0,0,0,0,0
201804261811543982,0,0,0,0,0
201804261811544144,0,0,0,0,0
201804261811544311,0,0,0,0,0
201804261811544482,0,0,0,0,0
201804261811544811,0,0,0,0,0
201804261811544977,0,0,0,0,0
201804261811545147,0,0,0,0,0
201804261811545310,0,0,0,0,0
201804261811545483,0,0,0,0,0
201804261811545813,0,0,0,0,0
201804261811545977,0,0,0,0,0
201804261811546147,0,0,0,0,0
201804261811546309,0,0,0,0,0
201804261811546481,0,0,0,0,0
201804261811546809,0,0,0,0,0
201804261811546991,0,0,0,0,0
201804261811547143,0,0,0,0,0
201804261811547312,0,0,0,0,0
201804261811547487,0,0,0,0,0
201804261811547814,0,0,0,0,0
201804261811547979,0,0,0,0,0
201804261811548143,0,0,0,0,0
201804261811548310,0,0,0,0,0
201804261811548480,0,0,0,0,0
201804261811548813,0,0,0,0,0
201804261811548976,0,0,0,0,0
201804261811549146,0,0,0,0,0
201804261811549310,0,0,0,0,0
201804261811549480,0,0,0,0,0
201804261811549811,0,0,0,0,0
201804261811549981,0,0,0,0,0
201804261811550143,0,0,0,0,0
201804261811550312,0,0,0,0,0
201804261811550644,0,0,0,0,0
201804261811550816,0,0,0,0,0
201804261811550979,0,0,0,0,0
201804261811551151,0,0,0,0,0
201804261811551310,0,0,0,0,0
201804261811551641,0,0,0,0,0
201804261811551804,0,0,0,0,0
201804261811551978,0,0,0,0,0
201804261811552147,0,0,0,0,0
201804261811552309,0,0,0,0,0
201804261811552489,0,0,0,0,0
201804261811552809,0,0,0,0,0
201804261811552977,0,0,0,0,0
201804261811553146,0,0,0,0,0
201804261811553311,0,0,0,0,0
201804261811553643,0,0,0,0,0
201804261811553812,0,0,0,0,0
201804261811553980,0,0,0,0,0
201804261811554145,0,0,0,0,0
201804261811554315,0,0,0,0,0
201804261811554642,0,0,0,0,0
201804261811554811,0,0,0,0,0
201804261811554980,0,0,0,0,0
201804261811555140,0,0,0,0,0
201804261811555308,0,0,0,0,0
201804261811555480,0,0,0,0,0
201804261811555812,0,0,0,0,0
201804261811555979,0,0,0,0,0
201804261811556146,0,0,0,0,0
201804261811556308,0,0,0,0,0
201804261811556484,0,0,0,0,0
201804261811556807,0,0,0,0,0
201804261811556974,0,0,0,0,0
201804261811557141,0,0,0,0,0
201804261811557310,0,0,0,0,0
201804261811557484,0,0,0,0,0
201804261811557812,0,0,0,0,0
201804261811557979,0,0,0,0,0
201804261811558141,0,0,0,0,0
201804261811558314,0,0,0,0,0
201804261811558486,0,0,0,0,0
201804261811558810,0,0,0,0,0
201804261811558974,0,0,0,0,0
201804261811559141,0,0,0,0,0
201804261811559307,0,0,0,0,0
201804261811559643,0,0,0,0,0
201804261811559813,0,0,0,0,0
201804261811559974,0,0,0,0,0
201804261811560140,0,0,0,0,0
201804261811560309,0,0,0,0,0
201804261811560483,0,0,0,0,0
201804261811560810,0,0,0,0,0
201804261811560981,0,0,0,0,0
201804261811561141,0,0,0,0,0
201804261811561306,0,0,0,0,0
201804261811561652,0,0,0,0,0
201804261811561814,0,0,0,0,0
201804261811561973,0,0,0,0,0
201804261811562142,0,0,0,0,0
201804261811562308,0,0,0,0,0
201804261811562639,0,0,0,0,0
201804261811562806,0,0,0,0,0
201804261811562978,0,0,0,0,0
201804261811563139,0,0,0,0,0
201804261811563316,0,0,0,0,0
201804261811563478,0,0,0,0,0
201804261811563817,0,0,0,0,0
201804261811563977,0,0,0,0,0
201804261811564137,0,0,0,0,0
201804261811564305,0,0,0,0,0
201804261811564643,0,0,0,0,0
201804261811564803,0,0,0,0,0
201804261811564978,0,0,0,0,0
201804261811565143,0,0,0,0,0
201804261811565305,0,0,0,0,0
201804261811565644,0,0,0,0,0
201804261811565806,0,0,0,0,0
201804261811565974,0,0,0,0,0
201804261811566140,0,0,0,0,0
201804261811566305,0,0,0,0,0
201804261811566642,0,0,0,0,0
201804261811566810,0,0,0,0,0
201804261811566986,0,0,0,0,0
201804261811567139,0,0,0,0,0
201804261811567310,0,0,0,0,0
201804261811567642,0,0,0,0,0
201804261811567805,0,0,0,0,0
201804261811567977,0,0,0,0,0
201804261811568144,0,0,0,0,0
201804261811568310,0,0,0,0,0
201804261811568642,0,0,0,0,0
201804261811568809,0,0,0,0,0
201804261811568977,0,0,0,0,0
201804261811569142,0,0,0,0,0
201804261811569305,0,0,0,0,0
201804261811569638,0,0,0,0,0
201804261811569809,0,0,0,0,0
201804261811569975,0,0,0,0,0
201804261811570138,0,0,0,0,0
201804261811570304,0,0,0,0,0
201804261811570640,0,0,0,0,0
201804261811570805,0,0,0,0,0
201804261811570978,0,0,0,0,0
201804261811571141,0,0,0,0,0
201804261811571305,0,0,0,0,0
201804261811571636,0,0,0,0,0
201804261811571809,0,0,0,0,0
201804261811571975,0,0,0,0,0
201804261811572138,0,0,0,0,0
201804261811572304,0,0,0,0,0
201804261811572637,0,0,0,0,0
201804261811572804,0,0,0,0,0
201804261811572969,0,0,0,0,0
201804261811573147,0,0,0,0,0
201804261811573308,0,0,0,0,0
201804261811573637,0,0,0,0,0
201804261811573804,0,0,0,0,0
201804261811573976,0,0,0,0,0
201804261811574137,0,0,0,0,0
201804261811574315,0,0,0,0,0
201804261811574637,0,0,0,0,0
201804261811574802,0,0,0,0,0
201804261811574972,0,0,0,0,0
201804261811575140,0,0,0,0,0
201804261811575308,0,0,0,0,0
201804261811575642,0,0,0,0,0
201804261811575808,0,0,0,0,0
201804261811575971,0,0,0,0,0
201804261811576137,0,0,0,0,0
201804261811576303,0,0,0,0,0
201804261811576639,0,0,0,0,0
201804261811576804,0,0,0,0,0
201804261811576974,0,0,0,0,0
201804261811577137,0,0,0,0,0
201804261811577302,0,0,0,0,0
201804261811577645,0,0,0,0,0
201804261811577808,0,0,0,0,0
201804261811577969,0,0,0,0,0
201804261811578135,0,0,0,0,0
201804261811578308,0,0,0,0,0
201804261811578636,0,0,0,0,0
201804261811578801,0,0,0,0,0
201804261811578969,0,0,0,0,0
201804261811579141,0,0,0,0,0
201804261811579303,0,0,0,0,0
201804261811579634,0,0,0,0,0
201804261811579802,0,0,0,0,0
201804261811579972,0,0,0,0,0
201804261811580137,0,0,0,0,0
201804261811580305,0,0,0,0,0
201804261811580640,0,0,0,0,0
201804261811580802,0,0,0,0,0
201804261811580975,0,0,0,0,0
201804261811581134,0,0,0,0,0
201804261811581302,0,0,0,0,0
201804261811581637,0,0,0,0,0
201804261811581807,0,0,0,0,0
201804261811581972,0,0,0,0,0
201804261811582136,0,0,0,0,0
201804261811582307,0,0,0,0,0
201804261811582636,0,0,0,0,0
201804261811582803,0,0,0,0,0
201804261811582975,0,0,0,0,0
201804261811583140,0,0,0,0,0
201804261811583308,0,0,0,0,0
201804261811583630,0,0,0,0,0
201804261811583807,0,0,0,0,0
201804261811583975,0,0,0,0,0
201804261811584140,0,0,0,0,0
201804261811584307,0,0,0,0,0
201804261811584635,0,0,0,0,0
201804261811584813,0,0,0,0,0
201804261811584973,0,0,0,0,0
201804261811585135,0,0,0,0,0
201804261811585309,0,0,0,0,0
201804261811585650,0,0,0,0,0
201804261811585800,0,0,0,0,0
201804261811585971,0,0,0,0,0
201804261811586143,0,0,0,0,0
201804261811586301,0,0,0,0,0
201804261811586642,0,0,0,0,0
201804261811586800,0,0,0,0,0
201804261811586976,0,0,0,0,0
201804261811587137,0,0,0,0,0
201804261811587301,0,0,0,0,0
201804261811587633,0,0,0,0,0
201804261811587801,0,0,0,0,0
201804261811587973,0,0,0,0,0
201804261811588137,0,0,0,0,0
201804261811588306,0,0,0,0,0
201804261811588639,0,0,0,0,0
201804261811588806,0,0,0,0,0
201804261811588968,0,0,0,0,0
201804261811589134,0,0,0,0,0
201804261811589300,0,0,0,0,0
201804261811589633,0,0,0,0,0
201804261811589804,0,0,0,0,0
201804261811589970,0,0,0,0,0
201804261811590129,0,0,0,0,0
201804261811590308,0,0,0,0,0
201804261811590634,0,0,0,0,0
201804261811590800,0,0,0,0,0
201804261811590971,0,0,0,0,0
201804261811591148,0,0,0,0,0
201804261811591295,0,0,0,0,0
201804261811591637,0,0,0,0,0
201804261811591799,0,0,0,0,0
201804261811591971,0,0,0,0,0
201804261811592128,0,0,0,0,0
201804261811592299,0,0,0,0,0
201804261811592628,0,0,0,0,0
201804261811592805,0,0,0,0,0
201804261811592965,0,0,0,0,0
201804261811593129,0,0,0,0,0
201804261811593305,0,0,0,0,0
201804261811593634,0,0,0,0,0
201804261811593800,0,0,0,0,0
201804261811593971,0,0,0,0,0
201804261811594137,0,0,0,0,0
201804261811594309,0,0,0,0,0
201804261811594633,0,0,0,0,0
201804261811594800,0,0,0,0,0
201804261811594966,0,0,0,0,0
201804261811595140,0,0,0,0,0
201804261811595296,0,0,0,0,0
201804261811595633,0,0,0,0,0
201804261811595801,0,0,0,0,0
201804261811595971,0,0,0,0,0
201804261811596129,0,0,0,0,0
201804261811596297,0,0,0,0,0
201804261811596631,0,0,0,0,0
201804261811596803,0,0,0,0,0
201804261811596966,0,0,0,0,0
201804261811597134,0,0,0,0,0
201804261811597302,0,0,0,0,0
201804261811597637,0,0,0,0,0
201804261811597797,0,0,0,0,0
201804261811597966,0,0,0,0,0
201804261811598138,0,0,0,0,0
201804261811598298,0,0,0,0,0
201804261811598637,0,0,0,0,0
201804261811598801,0,0,0,0,0
201804261811598965,0,0,0,0,0
201804261811599134,0,0,0,0,0
201804261811599310,0,0,0,0,0
201804261811599632,0,0,0,0,0
201804261811599797,0,0,0,0,0
201804261811599970,0,0,0,0,0
201804261812000130,0,0,0,0,0
201804261812000302,0,0,0,0,0
201804261812000631,0,0,0,0,0
201804261812000802,0,0,0,0,0
201804261812000965,0,0,0,0,0
201804261812001135,0,0,0,0,0
201804261812001305,0,0,0,0,0
201804261812001631,0,0,0,0,0
201804261812001801,0,0,0,0,0
201804261812001970,0,0,0,0,0
201804261812002129,0,0,0,0,0
201804261812002297,0,0,0,0,0
201804261812002645,0,0,0,0,0
201804261812002797,0,0,0,0,0
201804261812002966,0,0,0,0,0
201804261812003133,0,0,0,0,0
201804261812003301,0,0,0,0,0
201804261812003625,0,0,0,0,0
201804261812003797,0,0,0,0,0
201804261812003965,0,0,0,0,0
201804261812004130,0,0,0,0,0
201804261812004297,0,0,0,0,0
201804261812004631,0,0,0,0,0
201804261812004797,0,0,0,0,0
201804261812004966,0,0,0,0,0
201804261812005134,0,0,0,0,0
201804261812005296,0,0,0,0,0
201804261812005629,0,0,0,0,0
201804261812005800,0,0,0,0,0
201804261812005965,0,0,0,0,0
201804261812006128,0,0,0,0,0
201804261812006300,0,0,0,0,0
201804261812006639,0,0,0,0,0
201804261812006795,0,0,0,0,0
201804261812006961,0,0,0,0,0
201804261812007130,0,0,0,0,0
201804261812007298,0,0,0,0,0
201804261812007621,0,0,0,0,0
201804261812007811,0,0,0,0,0
201804261812007960,0,0,0,0,0
201804261812008128,0,0,0,0,0
201804261812008301,0,0,0,0,0
201804261812008630,0,0,0,0,0
201804261812008796,0,0,0,0,0
201804261812008964,0,0,0,0,0
201804261812009130,0,0,0,0,0
201804261812009296,0,0,0,0,0
201804261812009632,0,0,0,0,0
201804261812009798,0,0,0,0,0
201804261812009963,0,0,0,0,0
201804261812010129,0,0,0,0,0
201804261812010296,0,0,0,0,0
201804261812010632,0,0,0,0,0
201804261812010800,0,0,0,0,0
201804261812010975,0,0,0,0,0
201804261812011154,0,0,0,0,0
201804261812011295,0,0,0,0,0
201804261812011633,0,0,0,0,0
201804261812011800,0,0,0,0,0
201804261812011964,0,0,0,0,0
201804261812012127,0,0,0,0,0
201804261812012296,0,0,0,0,0
201804261812012628,0,0,0,0,0
201804261812012796,0,0,0,0,0
201804261812012961,0,0,0,0,0
201804261812013130,0,0,0,0,0
201804261812013296,0,0,0,0,0
201804261812013629,0,0,0,0,0
201804261812013795,0,0,0,0,0
201804261812013961,0,0,0,0,0
201804261812014130,0,0,0,0,0
201804261812014301,0,0,0,0,0
201804261812014625,0,0,0,0,0
201804261812014798,0,0,0,0,0
201804261812014961,0,0,0,0,0
201804261812015143,0,0,0,0,0
201804261812015293,0,0,0,0,0
201804261812015633,0,0,0,0,0
201804261812015795,0,0,0,0,0
201804261812015960,0,0,0,0,0
201804261812016131,0,0,0,0,0
201804261812016293,0,0,0,0,0
201804261812016631,0,0,0,0,0
201804261812016794,0,0,0,0,0
201804261812016964,0,0,0,0,0
201804261812017126,0,0,0,0,0
201804261812017289,0,0,0,0,0
201804261812017631,0,0,0,0,0
201804261812017794,0,0,0,0,0
201804261812017960,0,0,0,0,0
201804261812018127,0,0,0,0,0
201804261812018294,0,0,0,0,0
201804261812018629,0,0,0,0,0
201804261812018803,0,0,0,0,0
201804261812018964,0,0,0,0,0
201804261812019127,0,0,0,0,0
201804261812019303,0,0,0,0,0
201804261812019627,0,0,0,0,0
201804261812019793,0,0,0,0,0
201804261812019961,0,0,0,0,0
201804261812020137,0,0,0,0,0
201804261812020303,0,0,0,0,0
201804261812020626,0,0,0,0,0
201804261812020792,0,0,0,0,0
201804261812020967,0,0,0,0,0
201804261812021128,0,0,0,0,0
201804261812021290,0,0,0,0,0
201804261812021635,0,0,0,0,0
201804261812021792,0,0,0,0,0
201804261812021962,0,0,0,0,0
201804261812022125,0,0,0,0,0
201804261812022297,0,0,0,0,0
201804261812022635,0,0,0,0,0
201804261812022791,0,0,0,0,0
201804261812022955,0,0,0,0,0
201804261812023126,0,0,0,0,0
201804261812023311,0,0,0,0,0
201804261812023639,0,0,0,0,0
201804261812023797,0,0,0,0,0
201804261812023969,0,0,0,0,0
201804261812024140,0,0,0,0,0
201804261812024292,0,0,0,0,0
201804261812024625,0,0,0,0,0
201804261812024807,0,0,0,0,0
201804261812024957,0,0,0,0,0
201804261812025130,0,0,0,0,0
201804261812025307,0,0,0,0,0
201804261812025630,0,0,0,0,0
201804261812025812,0,0,0,0,0
201804261812025959,0,0,0,0,0
201804261812026125,0,0,0,0,0
201804261812026291,0,0,0,0,0
201804261812026619,0,0,0,0,0
201804261812026797,0,0,0,0,0
201804261812026958,0,0,0,0,0
201804261812027129,0,0,0,0,0
201804261812027295,0,0,0,0,0
201804261812027634,0,0,0,0,0
201804261812027793,0,0,0,0,0
201804261812027959,0,0,0,0,0
201804261812028125,0,0,0,0,0
201804261812028290,0,0,0,0,0
201804261812028630,0,0,0,0,0
201804261812028791,0,0,0,0,0
201804261812028962,0,0,0,0,0
201804261812029126,0,0,0,0,0
201804261812029293,0,0,0,0,0
201804261812029625,0,0,0,0,0
201804261812029791,0,0,0,0,0
201804261812029959,0,0,0,0,0
201804261812030126,0,0,0,0,0
201804261812030291,0,0,0,0,0
201804261812030622,0,0,0,0,0
201804261812030794,0,0,0,0,0
201804261812030961,0,0,0,0,0
201804261812031124,0,0,0,0,0
201804261812031291,0,0,0,0,0
201804261812031624,0,0,0,0,0
201804261812031793,0,0,0,0,0
201804261812031959,0,0,0,0,0
201804261812032129,0,0,0,0,0
201804261812032289,0,0,0,0,0
201804261812032622,0,0,0,0,0
201804261812032794,0,0,0,0,0
201804261812032958,0,0,0,0,0
201804261812033126,0,0,0,0,0
201804261812033295,0,0,0,0,0
201804261812033628,0,0,0,0,0
201804261812033795,0,0,0,0,0
201804261812033958,0,0,0,0,0
201804261812034126,0,0,0,0,0
201804261812034290,0,0,0,0,0
201804261812034623,0,0,0,0,0
201804261812034793,0,0,0,0,0
201804261812034956,0,0,0,0,0
201804261812035122,0,0,0,0,0
201804261812035290,0,0,0,0,0
201804261812035632,0,0,0,0,0
201804261812035790,0,0,0,0,0
201804261812035956,0,0,0,0,0
201804261812036122,0,0,0,0,0
201804261812036300,0,0,0,0,0
201804261812036628,0,0,0,0,0
201804261812036795,0,0,0,0,0
201804261812036957,0,0,0,0,0
201804261812037128,0,0,0,0,0
201804261812037289,0,0,0,0,0
201804261812037622,0,0,0,0,0
201804261812037794,0,0,0,0,0
201804261812037955,0,0,0,0,0
201804261812038125,0,0,0,0,0
201804261812038292,0,0,0,0,0
201804261812038626,0,0,0,0,0
201804261812038791,0,0,0,0,0
201804261812038955,0,0,0,0,0
201804261812039125,0,0,0,0,0
201804261812039300,0,0,0,0,0
201804261812039621,0,0,0,0,0
201804261812039787,0,0,0,0,0
201804261812039960,0,0,0,0,0
201804261812040128,0,0,0,0,0
201804261812040289,0,0,0,0,0
201804261812040622,0,0,0,0,0
201804261812040788,0,0,0,0,0
201804261812040955,0,0,0,0,0
201804261812041121,0,0,0,0,0
201804261812041288,0,0,0,0,0
201804261812041622,0,0,0,0,0
201804261812041793,0,0,0,0,0
201804261812041958,0,0,0,0,0
201804261812042118,0,0,0,0,0
201804261812042293,0,0,0,0,0
201804261812042622,0,0,0,0,0
201804261812042788,0,0,0,0,0
201804261812042954,0,0,0,0,0
201804261812043121,0,0,0,0,0
201804261812043290,0,0,0,0,0
201804261812043621,0,0,0,0,0
201804261812043799,0,0,0,0,0
201804261812043955,0,0,0,0,0
201804261812044121,0,0,0,0,0
201804261812044302,0,0,0,0,0
201804261812044626,0,0,0,0,0
201804261812044787,0,0,0,0,0
201804261812044956,0,0,0,0,0
201804261812045117,0,0,0,0,0
201804261812045287,0,0,0,0,0
201804261812045620,0,0,0,0,0
201804261812045787,0,0,0,0,0
201804261812045957,0,0,0,0,0
201804261812046128,0,0,0,0,0
201804261812046288,0,0,0,0,0
201804261812046622,0,0,0,0,0
201804261812046787,0,0,0,0,0
201804261812046959,0,0,0,0,0
201804261812047120,0,0,0,0,0
201804261812047287,0,0,0,0,0
201804261812047622,0,0,0,0,0
201804261812047787,0,0,0,0,0
201804261812047953,0,0,0,0,0
201804261812048122,0,0,0,0,0
201804261812048292,0,0,0,0,0
201804261812048620,0,0,0,0,0
201804261812048788,0,0,0,0,0
201804261812048962,0,0,0,0,0
201804261812049131,0,0,0,0,0
201804261812049286,0,0,0,0,0
201804261812049619,0,0,0,0,0
201804261812049788,0,0,0,0,0
201804261812049953,0,0,0,0,0
201804261812050119,0,0,0,0,0
201804261812050296,0,0,0,0,0
201804261812050620,0,0,0,0,0
201804261812050788,0,0,0,0,0
201804261812050955,0,0,0,0,0
201804261812051120,0,0,0,0,0
201804261812051281,0,0,0,0,0
201804261812051624,0,0,0,0,0
201804261812051788,0,0,0,0,0
201804261812051952,0,0,0,0,0
201804261812052123,0,0,0,0,0
201804261812052291,0,0,0,0,0
201804261812052631,0,0,0,0,0
201804261812052789,0,0,0,0,0
201804261812052957,0,0,0,0,0
201804261812053119,0,0,0,0,0
201804261812053291,0,0,0,0,0
201804261812053619,0,0,0,0,0
201804261812053788,0,0,0,0,0
201804261812053952,0,0,0,0,0
201804261812054119,0,0,0,0,0
201804261812054285,0,0,0,0,0
201804261812054617,0,0,0,0,0
201804261812054785,0,0,0,0,0
201804261812054953,0,0,0,0,0
201804261812055123,0,0,0,0,0
201804261812055288,0,0,0,0,0
201804261812055623,0,0,0,0,0
201804261812055790,0,0,0,0,0
201804261812055952,0,0,0,0,0
201804261812056120,0,0,0,0,0
201804261812056290,0,0,0,0,0
201804261812056622,0,0,0,0,0
201804261812056795,0,0,0,0,0
201804261812056953,0,0,0,0,0
201804261812057125,0,0,0,0,0
201804261812057289,0,0,0,0,0
201804261812057620,0,0,0,0,0
201804261812057799,0,0,0,0,0
201804261812057950,0,0,0,0,0
201804261812058119,0,0,0,0,0
201804261812058284,0,0,0,0,0
201804261812058626,0,0,0,0,0
201804261812058786,0,0,0,0,0
201804261812058954,0,0,0,0,0
201804261812059122,0,0,0,0,0
201804261812059282,0,0,0,0,0
201804261812059617,0,0,0,0,0
201804261812059789,0,0,0,0,0
201804261812059953,0,0,0,0,0
201804261812060117,0,0,0,0,0
201804261812060284,0,0,0,0,0
201804261812060621,0,0,0,0,0
201804261812060787,0,0,0,0,0
201804261812060949,0,0,0,0,0
201804261812061117,0,0,0,0,0
201804261812061283,0,0,0,0,0
201804261812061617,0,0,0,0,0
201804261812061792,0,0,0,0,0
201804261812061950,0,0,0,0,0
201804261812062117,0,0,0,0,0
201804261812062288,0,0,0,0,0
201804261812062615,0,0,0,0,0
