timestamp,up,down,left,right,fire
201804261748435076,0,0,0,0,0
201804261748435229,0,0,0,0,0
201804261748435396,0,0,0,0,0
201804261748435725,0,0,0,0,0
201804261748435894,0,0,0,0,0
201804261748436061,0,0,0,0,0
201804261748436231,0,0,0,0,0
201804261748436392,0,0,0,0,0
201804261748436731,0,0,0,0,0
201804261748436894,0,0,0,0,0
201804261748437061,0,0,0,0,0
201804261748437234,0,0,0,0,0
201804261748437394,0,0,0,0,0
201804261748437731,0,0,0,0,0
201804261748437894,0,0,0,0,0
201804261748438061,0,0,0,0,0
201804261748438229,0,0,0,0,0
201804261748438394,0,0,0,0,0
201804261748438729,0,0,0,0,0
201804261748438893,0,0,0,0,0
201804261748439065,0,0,0,0,0
201804261748439227,0,0,0,0,0
201804261748439397,0,0,0,0,0
201804261748439727,0,0,0,0,0
201804261748439891,0,0,0,0,0
201804261748440061,0,0,0,0,0
201804261748440227,0,0,0,0,0
201804261748440392,0,0,0,0,0
201804261748440729,0,0,0,0,0
201804261748440890,0,0,0,0,0
201804261748441060,0,0,0,0,0
201804261748441227,0,0,0,0,0
201804261748441400,0,0,0,0,0
201804261748441725,0,0,0,0,0
201804261748441891,0,0,0,0,0
201804261748442059,0,0,0,0,0
201804261748442230,0,0,0,0,0
201804261748442394,0,0,0,0,0
201804261748442727,0,0,0,0,0
201804261748442892,0,0,0,0,0
201804261748443066,0,0,0,0,0
201804261748443231,0,0,0,0,0
201804261748443393,0,0,0,0,0
201804261748443722,0,0,0,0,0
201804261748443892,0,0,0,0,0
201804261748444061,0,0,0,0,0
201804261748444227,0,0,0,0,0
201804261748444392,0,0,0,0,0
201804261748444733,0,0,0,0,0
201804261748444892,0,0,0,0,0
201804261748445059,0,0,0,0,0
201804261748445225,0,0,0,0,0
201804261748445391,0,0,0,0,0
201804261748445728,0,0,0,0,0
201804261748445891,0,0,0,0,0
201804261748446063,0,0,0,0,0
201804261748446228,0,0,0,0,0
201804261748446392,0,0,0,0,0
201804261748446730,0,0,0,0,0
201804261748446901,0,0,0,0,0
201804261748447058,0,0,0,0,0
201804261748447225,0,0,0,0,0
201804261748447391,0,0,0,0,0
201804261748447725,0,0,0,0,0
201804261748447891,0,0,0,0,0
201804261748448057,0,0,0,0,0
201804261748448223,0,0,0,0,0
201804261748448391,0,0,0,0,0
201804261748448725,0,0,0,0,0
201804261748448891,0,0,0,0,0
201804261748449061,0,0,0,0,0
201804261748449230,0,0,0,0,0
201804261748449390,0,0,0,0,0
201804261748449730,0,0,0,0,0
201804261748449897,0,0,0,0,0
201804261748450057,0,0,0,0,0
201804261748450228,0,0,0,0,0
201804261748450394,0,0,0,0,0
201804261748450724,0,0,0,0,0
201804261748450892,0,0,0,0,0
201804261748451057,0,0,0,0,0
201804261748451223,0,0,0,0,0
201804261748451394,0,0,0,0,0
201804261748451723,0,0,0,0,0
201804261748451890,0,0,0,0,0
201804261748452061,0,0,0,0,0
201804261748452225,0,0,0,0,0
201804261748452390,0,0,0,0,0
201804261748452725,0,0,0,0,0
201804261748452891,0,0,0,0,0
201804261748453056,0,0,0,0,0
201804261748453221,0,0,0,0,0
201804261748453395,0,0,0,0,0
201804261748453723,0,0,0,0,0
201804261748453895,0,0,0,0,0
201804261748454057,0,0,0,0,0
201804261748454224,0,0,0,0,0
201804261748454392,0,0,0,0,0
201804261748454730,0,0,0,0,0
201804261748454890,0,0,0,0,0
201804261748455059,0,0,0,0,0
201804261748455222,0,0,0,0,0
201804261748455389,0,0,0,0,0
201804261748455723,0,0,0,0,0
201804261748455887,0,0,0,0,0
201804261748456056,0,0,0,0,0
201804261748456225,0,0,0,0,0
201804261748456390,0,0,0,0,0
201804261748456722,0,0,0,0,0
201804261748456889,0,0,0,0,0
201804261748457061,0,0,0,0,0
201804261748457226,0,0,0,0,0
201804261748457394,0,0,0,0,0
201804261748457721,0,0,1,0,0
201804261748457893,0,0,1,0,0
201804261748458056,0,0,1,0,0
201804261748458227,0,0,1,0,0
201804261748458391,0,0,1,0,0
201804261748458721,0,0,1,0,0
201804261748458892,0,0,1,0,0
201804261748459055,0,0,1,0,0
201804261748459221,0,0,1,0,0
201804261748459393,0,0,1,0,0
201804261748459726,0,0,1,0,0
201804261748459888,0,0,1,0,0
201804261748460054,0,0,1,0,0
201804261748460227,0,0,1,0,0
201804261748460396,0,0,1,0,0
201804261748460717,0,0,1,0,0
201804261748460887,0,0,1,0,0
201804261748461054,0,0,1,0,0
201804261748461222,0,0,1,0,0
201804261748461388,0,0,1,0,0
201804261748461720,0,0,1,0,0
201804261748461889,0,0,1,0,0
201804261748462055,0,0,1,0,0
201804261748462230,0,0,1,0,0
201804261748462391,0,0,0,0,0
201804261748462721,0,0,0,1,0
201804261748462890,0,0,0,1,0
201804261748463059,0,0,0,1,0
201804261748463222,0,0,0,1,0
201804261748463391,0,0,0,1,0
201804261748463720,0,0,0,1,0
201804261748463892,0,0,0,1,0
201804261748464058,0,0,0,1,0
201804261748464215,0,0,0,1,0
201804261748464390,0,0,0,1,0
201804261748464716,0,0,0,1,0
201804261748464889,0,0,0,1,0
201804261748465059,0,0,0,1,0
201804261748465219,0,0,0,1,0
201804261748465391,0,0,0,1,0
201804261748465726,0,0,0,1,0
201804261748465926,0,0,0,1,0
201804261748466051,0,0,0,1,0
201804261748466219,0,0,0,1,0
201804261748466389,0,0,0,1,0
201804261748466720,0,0,0,1,0
201804261748466890,0,0,0,1,0
201804261748467056,0,0,0,1,0
201804261748467220,0,0,0,1,0
201804261748467386,0,0,0,1,0
201804261748467726,0,0,0,1,0
201804261748467889,0,0,0,1,0
201804261748468056,0,0,0,0,0
201804261748468219,0,0,1,0,0
201804261748468399,0,0,1,0,0
201804261748468725,0,0,1,0,0
201804261748468891,0,0,1,0,0
201804261748469050,0,0,1,0,0
201804261748469220,0,0,1,0,0
201804261748469386,0,0,1,0,0
201804261748469720,0,0,1,0,0
201804261748469885,0,0,1,0,0
201804261748470058,0,0,1,0,0
201804261748470220,0,0,1,0,0
201804261748470389,0,0,1,0,0
201804261748470721,0,0,1,0,0
201804261748470889,0,0,1,0,0
201804261748471053,0,0,1,0,0
201804261748471216,0,0,1,0,0
201804261748471386,0,0,1,0,0
201804261748471720,0,0,1,0,0
201804261748471887,0,0,1,0,0
201804261748472061,0,0,1,0,0
201804261748472229,0,0,1,0,0
201804261748472386,0,0,1,0,0
201804261748472719,1,0,1,0,0
201804261748472886,1,0,1,0,0
201804261748473052,1,0,1,0,0
201804261748473221,1,0,1,0,0
201804261748473388,1,0,1,0,0
201804261748473719,1,0,1,0,0
201804261748473885,1,0,1,0,0
201804261748474062,1,0,1,0,0
201804261748474220,1,0,1,0,0
201804261748474385,1,0,1,0,0
201804261748474721,1,0,0,0,0
201804261748474891,1,0,0,0,0
201804261748475061,1,0,0,0,0
201804261748475218,1,0,0,0,0
201804261748475389,1,0,0,0,0
201804261748475719,1,0,0,0,0
201804261748475885,1,0,0,0,0
201804261748476051,1,0,0,0,0
201804261748476219,1,0,0,0,0
201804261748476385,1,0,0,0,0
201804261748476717,1,0,0,0,0
201804261748476883,1,0,0,0,0
201804261748477051,1,0,0,0,0
201804261748477216,1,0,0,0,0
201804261748477387,1,0,0,0,0
201804261748477722,1,0,0,0,0
201804261748477889,1,0,0,0,0
201804261748478057,1,0,0,0,0
201804261748478217,1,0,0,0,0
201804261748478389,1,0,0,0,0
201804261748478719,1,0,0,0,0
201804261748478889,1,0,0,0,0
201804261748479051,1,0,0,0,0
201804261748479221,1,0,0,0,0
201804261748479383,1,0,0,0,0
201804261748479721,1,0,0,0,0
201804261748479884,1,0,0,0,0
201804261748480054,1,0,0,0,0
201804261748480213,1,0,0,0,0
201804261748480387,1,0,0,0,0
201804261748480716,1,0,0,0,0
201804261748480888,1,0,0,0,0
201804261748481049,1,0,0,1,0
201804261748481216,1,0,0,1,0
201804261748481389,1,0,0,1,0
201804261748481717,1,0,0,1,0
201804261748481883,1,0,0,1,0
201804261748482049,1,0,0,1,0
201804261748482220,1,0,0,1,0
201804261748482381,1,0,0,1,0
201804261748482722,1,0,0,1,0
201804261748482883,0,0,0,1,0
201804261748483049,0,0,0,1,0
201804261748483215,0,0,0,1,0
201804261748483388,0,0,0,1,0
