timestamp,joy,anger,suprise
201805072100366269,0.03101158,0.02979869,3.605834
201805072100366407,0.04008388,0.01833126,1.631183
201805072100366743,0.2869186,0.009095934,2.906812
201805072100367409,0.1287024,0.00446737,2.526489
201805072100368069,0.3952397,0.001109592,1.267089
201805072100368570,14.21009,0.0002356124,1.61658
201805072100369239,70.6827,6.571283E-05,1.261544
201805072100369901,84.7579,3.341201E-05,1.230849
201805072100370403,92.51224,2.73962E-05,0.9463557
201805072100370899,98.40598,1.404772E-05,1.141363
201805072100371570,98.01012,1.419328E-05,0.7901298
201805072100372065,95.07874,2.160828E-05,0.6261014
201805072100372564,97.97937,2.29261E-05,0.6399208
201805072100373234,98.54791,2.702953E-05,0.603135
201805072100373899,97.63752,2.709304E-05,0.704817
201805072100374567,75.33701,8.130144E-05,0.5507631
201805072100375070,2.069458,0.001136802,0.4224988
201805072100375737,0.034839,0.003556602,0.3047926
201805072100376235,0.005054812,0.005761406,0.2488166
201805072100376896,0.006956647,0.003608253,0.2430631
201805072100377403,0.02414726,0.00189524,0.2702139
201805072100378065,0.04515562,0.001289058,0.2947777
201805072100378736,0.04402007,0.001293789,0.3107401
201805072100379401,0.02170341,0.001709301,0.301428
201805072100380065,0.1181666,0.0008751518,0.3378519
201805072100380569,4.309422,0.0002000876,0.3173185
201805072100381236,31.60154,7.510741E-05,0.3188439
201805072100381735,92.9236,1.866099E-05,0.3547986
201805072100382236,93.91939,1.748733E-05,0.3721792
201805072100382899,86.52638,2.651583E-05,0.3566277
201805072100383398,75.42646,3.936945E-05,0.3327978
201805072100384068,14.27381,0.0001349051,0.2881884
201805072100384566,2.314751,0.0004173517,0.3243795
201805072100385236,0.1112524,0.001650564,0.3507833
201805072100385736,0.08080101,0.001483643,0.4697021
201805072100386234,0.169705,0.001506587,1.657536
201805072100386895,0.1881404,0.001862342,1.715361
201805072100387397,0.2543716,0.00141086,1.708781
201805072100387901,0.4830772,0.0009613231,1.768935
201805072100388562,0.1976068,0.001169013,1.594347
201805072100389229,3.570926,0.0003093377,1.498901
201805072100389894,91.44807,2.936804E-05,2.33466
201805072100390395,99.33663,9.844928E-06,2.416862
201805072100390899,99.68796,8.147159E-06,3.713775
201805072100391561,99.81664,6.415964E-06,4.017897
201805072100392230,99.88612,5.537673E-06,7.134734
201805072100392729,99.89928,5.135517E-06,9.851867
201805072100393401,99.90639,4.724225E-06,12.89737
201805072100394065,99.89762,3.483465E-06,17.84184
201805072100394561,99.89378,3.011688E-06,21.5344
201805072100395232,99.88879,2.662702E-06,24.10188
201805072100395733,99.89685,2.887734E-06,23.74056
201805072100396233,99.91344,3.857301E-06,19.37504
201805072100396899,99.91709,4.126032E-06,18.57556
201805072100397398,99.92125,4.61765E-06,17.13892
201805072100397896,99.92692,5.253353E-06,15.67118
201805072100398556,99.92791,5.417322E-06,15.33928
201805072100399236,99.92892,5.683079E-06,14.9837
201805072100399892,99.92888,5.803653E-06,15.02695
201805072100400554,99.92896,6.138302E-06,14.88838
201805072100401231,99.92811,7.017773E-06,14.95901
201805072100401897,99.92738,6.650977E-06,15.10002
201805072100402561,99.92692,9.202142E-06,15.15907
201805072100403058,99.92643,1.080891E-05,14.95313
201805072100403731,99.92647,8.966287E-06,14.88503
201805072100404230,99.92626,8.754658E-06,15.09042
201805072100404728,99.92423,8.324375E-06,15.74488
201805072100405392,99.92193,6.129107E-06,16.81299
201805072100406058,99.91312,4.201044E-06,19.80602
201805072100406563,99.89895,3.116222E-06,23.26003
201805072100407224,99.84314,1.304069E-06,38.6679
201805072100407724,99.73734,4.01607E-07,62.79559
201805072100408391,99.57868,1.318869E-07,81.59288
201805072100409057,99.46958,8.417145E-08,86.79707
201805072100409729,99.301,6.175334E-08,90.0281
201805072100410224,99.28719,6.512234E-08,89.48723
201805072100410724,99.2832,6.987941E-08,89.15221
201805072100411387,99.21953,6.223055E-08,90.36786
201805072100411889,99.14187,5.848585E-08,91.08797
201805072100412557,99.30176,9.210387E-08,87.34503
201805072100413063,99.34819,1.102602E-07,85.55244
201805072100413728,99.43047,1.478997E-07,82.28017
201805072100414227,99.4436,1.588583E-07,81.51592
201805072100414889,99.4795,1.757505E-07,80.00506
201805072100415558,99.52505,2.140867E-07,77.1578
201805072100416056,99.61961,3.184587E-07,70.36758
201805072100416724,99.6021,2.964113E-07,71.81504
201805072100417216,99.65266,3.724295E-07,67.42335
201805072100417886,99.61765,3.159485E-07,70.65443
201805072100418395,99.62513,3.303516E-07,69.84982
201805072100419229,99.59501,2.859582E-07,72.4408
201805072100419560,99.47537,1.788822E-07,80.03209
201805072100420226,99.5241,2.118537E-07,77.49517
201805072100420728,99.54819,2.263657E-07,76.40059
